ClientNumber,ArrivalTime,Server,ServiceStart,ServiceEnd,ServiceTimeMin,WaitTimeMin,RequestType
1,6:00 PM,A,6:00,6:03,3,0,QQ
2,6:02 PM,B,6:02,6:06,4,0,QQ
3,6:05 PM,A,6:05,6:11,6,0,SR
4,6:07 PM,B,6:07,6:09,2,0,QQ
5,6:09 PM,B,6:09,6:21,12,0,RA
6,6:12 PM,A,6:12,6:16,4,0,SR
7,6:15 PM,A,6:16,6:19,3,1,QQ
8,6:17 PM,A,6:19,6:24,5,2,QQ
9,6:19 PM,A,6:24,6:31,7,5,SR
10,6:21 PM,B,6:21,6:35,14,0,LA
11,6:24 PM,A,6:31,6:34,3,7,QQ
12,6:26 PM,A,6:34,6:42,8,8,SR
13,6:29 PM,B,6:35,6:49,14,6,RA
14,6:32 PM,A,6:42,6:44,2,10,QQ
15,6:35 PM,A,6:44,6:48,4,9,QQ
16,6:38 PM,A,6:48,6:56,8,10,SR
17,6:41 PM,B,6:49,7:01,12,8,RA
18,6:45 PM,A,6:56,6:58,2,11,QQ
19,6:49 PM,A,6:58,7:07,9,9,SR
20,6:53 PM,B,7:01,7:18,17,8,LA
21,6:57 PM,A,7:07,7:10,3,10,QQ
22,7:01 PM,A,7:10,7:15,5,9,SR
23,7:06 PM,A,7:15,7:19,4,9,QQ
24,7:10 PM,B,7:18,7:33,15,8,LA
25,7:15 PM,A,7:19,7:28,9,4,RA
26,7:21 PM,A,7:28,7:31,3,7,QQ
27,7:27 PM,A,7:31,7:37,6,4,SR
28,7:33 PM,B,7:33,7:47,14,0,RA
29,7:40 PM,A,7:40,7:42,2,0,QQ
30,7:48 PM,A,7:48,7:57,9,0,LA
